order_item_id,order_id,product_id,seller_id,quantity,price
ITEM_1,ORD_1062,PROD_322,SELL_52,3,15614
ITEM_2,ORD_1540,PROD_508,SELL_52,2,31655
ITEM_3,ORD_512,PROD_774,SELL_178,1,4175
ITEM_4,ORD_2243,PROD_325,SELL_241,4,49831
ITEM_5,ORD_333,PROD_243,SELL_129,1,14683
ITEM_6,ORD_2110,PROD_801,SELL_172,1,6493
ITEM_7,ORD_2474,PROD_884,SELL_236,2,42071
ITEM_8,ORD_1477,PROD_985,SELL_143,3,5861
ITEM_9,ORD_201,PROD_595,SELL_114,1,9146
ITEM_10,ORD_88,PROD_195,SELL_48,4,24295
ITEM_11,ORD_1322,PROD_684,SELL_90,2,18844
ITEM_12,ORD_1020,PROD_429,SELL_43,2,40871
ITEM_13,ORD_1708,PROD_680,SELL_33,4,44781
ITEM_14,ORD_220,PROD_650,SELL_296,1,28909
ITEM_15,ORD_2614,PROD_747,SELL_67,3,20348
ITEM_16,ORD_2124,PROD_35,SELL_298,1,6836
ITEM_17,ORD_2898,PROD_984,SELL_90,3,38838
ITEM_18,ORD_720,PROD_493,SELL_135,4,34175
ITEM_19,ORD_1124,PROD_853,SELL_211,3,1279
ITEM_20,ORD_2468,PROD_759,SELL_256,4,28254
ITEM_21,ORD_628,PROD_842,SELL_237,2,38439
ITEM_22,ORD_2726,PROD_433,SELL_31,1,43414
ITEM_23,ORD_1275,PROD_280,SELL_259,3,29513
ITEM_24,ORD_735,PROD_454,SELL_244,2,33698
ITEM_25,ORD_129,PROD_950,SELL_209,4,28401
ITEM_26,ORD_2068,PROD_706,SELL_125,1,41917
ITEM_27,ORD_2057,PROD_875,SELL_237,2,25734
ITEM_28,ORD_2656,PROD_171,SELL_47,1,11623
ITEM_29,ORD_2680,PROD_871,SELL_249,2,31372
ITEM_30,ORD_780,PROD_312,SELL_230,3,20285
ITEM_31,ORD_2879,PROD_546,SELL_204,2,11681
ITEM_32,ORD_1934,PROD_493,SELL_92,3,43147
ITEM_33,ORD_1292,PROD_590,SELL_236,3,3601
ITEM_34,ORD_1578,PROD_622,SELL_251,4,10962
ITEM_35,ORD_328,PROD_9,SELL_91,4,20895
ITEM_36,ORD_1232,PROD_753,SELL_134,1,39741
