order_id,order_date,customer_id,payment_type,order_status,order_amount
ORD_1,2025-02-09,CUST_164,UPI,Canceled,14388
ORD_2,2025-08-12,CUST_1511,Debit Card,Delivered,14424
ORD_3,2025-08-28,CUST_1059,COD,Returned,3922
ORD_4,2024-06-03,CUST_1108,Credit Card,Canceled,2466
ORD_5,2024-05-29,CUST_961,Net Banking,Processing,13747
ORD_6,2024-01-25,CUST_120,UPI,Returned,38098
ORD_7,2024-01-08,CUST_654,Debit Card,Canceled,40997
ORD_8,2025-08-29,CUST_694,Credit Card,Delivered,56394
ORD_9,2025-11-10,CUST_1482,UPI,Shipped,22726
ORD_10,2024-09-05,CUST_971,UPI,Canceled,2890
ORD_11,2025-09-18,CUST_411,Credit Card,Canceled,727
ORD_12,2024-09-15,CUST_1560,Net Banking,Shipped,29662
ORD_13,2024-12-24,CUST_397,COD,Canceled,2609
ORD_14,2025-04-08,CUST_1508,Debit Card,Delivered,27107
ORD_15,2025-05-23,CUST_790,Credit Card,Returned,15392
ORD_16,2025-02-08,CUST_1591,UPI,Processing,56122
ORD_17,2025-08-25,CUST_1375,UPI,Canceled,58559
ORD_18,2024-04-28,CUST_1024,Credit Card,Processing,5065
ORD_19,2025-06-10,CUST_1820,UPI,Processing,8697
ORD_20,2025-10-09,CUST_1785,Debit Card,Processing,24320
ORD_21,2025-11-09,CUST_849,COD,Processing,49249
ORD_22,2024-06-03,CUST_926,Net Banking,Canceled,45231
ORD_23,2024-01-02,CUST_1782,Debit Card,Canceled,51407
ORD_24,2024-03-31,CUST_1706,Debit Card,Processing,13937
ORD_25,2025-11-13,CUST_1766,UPI,Shipped,34736
ORD_26,2025-01-27,CUST_1782,Credit Card,Delivered,30196
ORD_27,2025-10-18,CUST_1865,COD,Returned,18471
ORD_28,2024-12-31,CUST_347,COD,Processing,27620
ORD_29,2023-11-20,CUST_1836,Credit Card,Processing,13860
ORD_30,2025-09-19,CUST_1868,UPI,Canceled,15609
ORD_31,2024-10-01,CUST_779,Credit Card,Returned,8176
ORD_32,2025-08-11,CUST_1749,Net Banking,Shipped,18941
ORD_33,2025-11-12,CUST_1058,Net Banking,Canceled,1005
ORD_34,2024-07-09,CUST_1535,COD,Processing,15736
ORD_35,2024-11-17,CUST_254,Debit Card,Canceled,42906
ORD_36,2025-07-31,CUST_457,UPI,Shipped,57905
ORD_37,2024-11-15,CUST_1193,UPI,Shipped,25707
ORD_38,2025-04-04,CUST_1140,UPI,Processing,44996
ORD_39,2025-02-23,CUST_79,COD,Processing,38078
ORD_40,2024-06-17,CUST_506,COD,Processing,43395
ORD_41,2024-04-05,CUST_907,Credit Card,Processing,47948
ORD_42,2024-10-06,CUST_975,UPI,Processing,51643
ORD_43,2024-02-02,CUST_1533,Net Banking,Processing,39267
ORD_44,2024-06-15,CUST_57,Debit Card,Returned,20034
ORD_45,2024-05-22,CUST_233,COD,Processing,33743
ORD_46,2025-06-27,CUST_942,UPI,Returned,57110
ORD_47,2024-08-08,CUST_1857,UPI,Processing,31906
ORD_48,2025-01-13,CUST_1284,UPI,Delivered,23393
ORD_49,2024-07-06,CUST_709,Credit Card,Shipped,19321
ORD_50,2024-06-26,CUST_1736,COD,Canceled,36462
ORD_51,2025-09-14,CUST_309,Net Banking,Returned,45528
ORD_52,2025-05-01,CUST_1454,Credit Card,Returned,42624
ORD_53,2025-06-21,CUST_745,Debit Card,Canceled,32523
ORD_54,2024-12-27,CUST_230,Credit Card,Shipped,54470
ORD_55,2025-06-28,CUST_374,Net Banking,Processing,12259
ORD_56,2024-09-26,CUST_1111,Credit Card,Shipped,56674
ORD_57,2025-07-25,CUST_126,Credit Card,Returned,13173
ORD_58,2025-01-18,CUST_769,Debit Card,Processing,38108
ORD_59,2025-09-24,CUST_436,Credit Card,Processing,9299
