seller_id,seller_name,seller_city,seller_state,seller_rating
SELL_1,Henderson-Yoder Traders,Lake Davidport,Nevada,4.33
SELL_2,Cline-Joseph Traders,East Andrewside,Idaho,4.05
SELL_3,"Rodriguez, Thomas and Davis Traders",Port Kimberly,West Virginia,3.03
SELL_4,Robles-Cline Traders,Mullinsburgh,Ohio,3.26
SELL_5,"Rios, Day and Wilkins Traders",Millsmouth,New York,4.89
SELL_6,Lewis-Aguilar Traders,South Jason,Vermont,3.58
SELL_7,Rodriguez LLC Traders,West Mary,West Virginia,3.59
SELL_8,Torres-Jenkins Traders,Jaredberg,Alaska,3.29
SELL_9,Fleming PLC Traders,Lake Carla,Wyoming,3.06
SELL_10,Sutton PLC Traders,New Christina,Tennessee,4.08
SELL_11,Mays-Stephens Traders,South Troyshire,Indiana,3.35
SELL_12,"Jones, Fitzgerald and Gonzalez Traders",Popeview,Texas,5.0
SELL_13,Mendoza-Thompson Traders,Ryanmouth,Tennessee,4.25
SELL_14,"Leblanc, Frazier and Lopez Traders",Anthonybury,Minnesota,4.41
SELL_15,"Walsh, Miller and Hill Traders",East Elizabethfort,Washington,4.6
SELL_16,King Ltd Traders,North Heather,South Dakota,3.91
SELL_17,Edwards Group Traders,Stephenburgh,Kansas,3.45
SELL_18,"Long, Hahn and Baker Traders",Christopherton,Iowa,3.16
SELL_19,Valdez-Barnett Traders,West Corey,Mississippi,4.13
SELL_20,Taylor Ltd Traders,Morganberg,Arizona,3.72
SELL_21,"Mcdaniel, King and Potter Traders",Jameston,Wisconsin,3.44
SELL_22,Miller-Clark Traders,East Saraview,Texas,3.19
SELL_23,Wise and Sons Traders,Snyderbury,North Carolina,3.26
SELL_24,"Gonzalez, Johnston and Ward Traders",New Samuel,Maine,4.05
SELL_25,Graham-Price Traders,Lake Erikside,Idaho,3.3
SELL_26,Gonzalez-Rice Traders,Walkerburgh,New Hampshire,3.17
SELL_27,Greene and Sons Traders,New Shanestad,Montana,3.2
SELL_28,"Buchanan, Kim and Davis Traders",Mccarthychester,Alaska,3.09
SELL_29,Holland-Parsons Traders,Johnsonland,Ohio,3.01
SELL_30,Carter LLC Traders,West Sarah,Mississippi,3.78
SELL_31,"Rosales, Benson and Jones Traders",Lake Margaret,South Carolina,3.4
SELL_32,"Vargas, Davis and Warren Traders",North Madelineburgh,Arizona,3.78
SELL_33,Bennett-Hall Traders,Port Devin,Ohio,4.87
SELL_34,"Martin, Hernandez and Koch Traders",Port Robertchester,Nebraska,4.2
SELL_35,Campbell-Martinez Traders,Port Heatherhaven,Maine,3.11
SELL_36,Trujillo-Wells Traders,Weissmouth,Maryland,4.73
SELL_37,"Simpson, Collins and Jones Traders",Floreston,Maryland,4.94
SELL_38,Edwards-Armstrong Traders,Kristenhaven,Wyoming,4.54
SELL_39,Summers Inc Traders,Amyshire,Arkansas,4.68
SELL_40,Jones-Jones Traders,Timothyton,Nebraska,4.95
SELL_41,Odonnell-Snyder Traders,Sabrinachester,Delaware,3.22
SELL_42,Krueger-Rosales Traders,East John,Louisiana,4.7
SELL_43,Kelly-Frank Traders,Port Jenniferside,Vermont,4.42
SELL_44,"Richards, Waters and Garrett Traders",West Kim,Texas,3.66
SELL_45,"Garcia, Chase and Welch Traders",Port Heatherborough,Oklahoma,3.3
SELL_46,Andrews-Anderson Traders,North Mariahaven,Colorado,3.73
SELL_47,Watts-Ryan Traders,West Lee,Ohio,3.62
SELL_48,Page-Ibarra Traders,Robertborough,North Carolina,3.13
SELL_49,Sanchez Inc Traders,Langstad,North Dakota,4.48
SELL_50,French-Lee Traders,West Martinberg,West Virginia,4.85
SELL_51,"Johnson, Welch and Serrano Traders",Cordovaborough,Louisiana,4.9
SELL_52,Torres Inc Traders,Davidville,Arkansas,3.87
SELL_53,Ray PLC Traders,East Williamtown,Michigan,3.56
SELL_54,Boyd-Nunez Traders,East Larry,Montana,3.74
SELL_55,Morton Ltd Traders,Peterfort,Texas,3.55
SELL_56,Scott Ltd Traders,Graymouth,Colorado,3.57
SELL_57,Sullivan-White Traders,Jamesberg,Delaware,3.99
SELL_58,Williams-Robinson Traders,Warrenbury,New Jersey,3.52
SELL_59,Bailey-Gordon Traders,Port Amy,Alabama,4.17
SELL_60,Garcia and Sons Traders,East Amymouth,Missouri,4.34
SELL_61,Gross and Sons Traders,New Lukeberg,Nebraska,4.84
SELL_62,"Lee, Gray and Simmons Traders",North Curtis,California,3.75
SELL_63,"Diaz, Kim and Cain Traders",Deanstad,Indiana,4.2
SELL_64,Dunn-Clark Traders,South Brianchester,Arkansas,3.62
SELL_65,Brewer Ltd Traders,West Kevin,Delaware,4.39
SELL_66,Holden-Carpenter Traders,Emilymouth,Massachusetts,3.5
SELL_67,Perez LLC Traders,South Taylor,Missouri,4.62
SELL_68,Graves Inc Traders,South Jamesberg,Wisconsin,4.33
SELL_69,"Quinn, Walker and Daugherty Traders",Whitakerhaven,Kentucky,3.2
SELL_70,Munoz Inc Traders,Amberland,Alabama,3.33
SELL_71,Callahan-Jackson Traders,Brianport,North Carolina,4.77
SELL_72,Graham Group Traders,East Jenniferburgh,Georgia,3.65
SELL_73,"Mayer, Myers and Garcia Traders",West Joshuaton,Wisconsin,3.76
SELL_74,Diaz Group Traders,West Lisabury,Utah,4.1
SELL_75,"Davis, Jensen and Ward Traders",Lake Stephen,New Mexico,3.87
SELL_76,Allen PLC Traders,Pierceshire,Washington,3.04
SELL_77,Barker Ltd Traders,Ortegatown,Arizona,3.8
SELL_78,Jones-Phillips Traders,South Sara,New Mexico,4.0
SELL_79,Martinez-Daniels Traders,Josephhaven,Nebraska,4.74
SELL_80,Palmer Group Traders,Fisherbury,New York,4.76
SELL_81,Paul and Sons Traders,West Jo,Kentucky,4.72
SELL_82,Perez LLC Traders,Laurachester,Wyoming,3.21
SELL_83,"Wells, Benson and Williams Traders",East Frankstad,Idaho,4.31
SELL_84,Holt Group Traders,North Danielside,Colorado,3.68
SELL_85,"Richards, Hall and Torres Traders",Katelyntown,California,4.23
SELL_86,Baldwin Group Traders,North Ryanside,Florida,4.42
SELL_87,Washington-Tucker Traders,Richardsburgh,Maryland,3.11
SELL_88,"Baker, Townsend and Ellison Traders",West Theresaburgh,Wisconsin,4.58
SELL_89,Calderon-Watson Traders,Port Jacob,Maryland,3.8
SELL_90,"Powell, Yang and Cook Traders",Andersonbury,North Carolina,4.42
SELL_91,"Schroeder, Skinner and Clayton Traders",South Keithmouth,Louisiana,3.09
SELL_92,Wells-Ellis Traders,East Donald,Hawaii,3.35
SELL_93,Nguyen-Lynn Traders,Oconnorside,Rhode Island,4.86
SELL_94,Johnson LLC Traders,Port Emily,Hawaii,3.95
SELL_95,"Bennett, Dunn and Lozano Traders",Reidshire,California,4.51
SELL_96,"Romero, Miller and Fitzgerald Traders",East Dylanstad,Minnesota,3.7
SELL_97,Lee-Patel Traders,West Jennastad,Indiana,4.39
SELL_98,Garcia LLC Traders,South Jasminshire,New York,4.07
SELL_99,Johnson-Novak Traders,Robinsonborough,North Dakota,4.06
SELL_100,Randolph Inc Traders,Gabrielport,California,3.15
SELL_101,Mills Group Traders,Port Gregory,Rhode Island,3.33
SELL_102,Martin Ltd Traders,Katrinastad,North Dakota,3.84
SELL_103,"Walton, Ballard and Stark Traders",Port Scott,Kansas,3.43
SELL_104,Brown-Hernandez Traders,East Monica,Colorado,3.46
SELL_105,Peterson-Graham Traders,West Joshua,Arizona,3.46
SELL_106,Frederick LLC Traders,South Kimberly,North Dakota,4.43
SELL_107,"Jones, Fletcher and Walker Traders",Hillview,New Jersey,4.08
SELL_108,Wallace and Sons Traders,West Lisabury,South Dakota,4.06
SELL_109,Lawrence-Nolan Traders,North Tiffanyton,Massachusetts,4.62
SELL_110,"Morgan, Davies and Kim Traders",West Alicia,Arkansas,3.42
SELL_111,Lawson Group Traders,Port Marilynburgh,Delaware,3.49
SELL_112,"Morris, Mullins and Young Traders",West Christopherbury,North Carolina,4.38
SELL_113,Martin-Morris Traders,Port Molly,Hawaii,3.0
SELL_114,"Wilson, Norman and Moore Traders",North Paul,Iowa,3.71
SELL_115,Williams Group Traders,Lake Brian,Wyoming,4.12
SELL_116,"Adams, Anderson and Erickson Traders",Rodriguezville,Oklahoma,4.57
SELL_117,Garcia Inc Traders,Brianmouth,Indiana,4.88
SELL_118,"Chen, Price and Flores Traders",Johnsonville,Florida,3.58
SELL_119,Richardson LLC Traders,Jeremyborough,Ohio,4.92
SELL_120,Moore LLC Traders,Lake Anthonyfort,North Dakota,4.62
SELL_121,"Mendez, Vasquez and Adams Traders",Port Jennifer,Connecticut,4.18
SELL_122,"Lewis, Stevens and Aguirre Traders",North Jacquelineshire,Minnesota,4.8
SELL_123,Lee Ltd Traders,Lake Donnahaven,Virginia,4.6
SELL_124,"Bauer, Watson and Anderson Traders",Estradachester,Mississippi,3.93
SELL_125,Conley-Velasquez Traders,Karafurt,Delaware,4.19
SELL_126,Bowers-Clark Traders,Callahanchester,Minnesota,3.66
SELL_127,Taylor Ltd Traders,Amystad,Tennessee,3.04
SELL_128,Ramos Group Traders,Nobleville,Wyoming,4.53
SELL_129,May Group Traders,Dawsonburgh,Idaho,3.06
SELL_130,Chen LLC Traders,Lake Judychester,Michigan,3.33
SELL_131,"Bell, Kennedy and Leach Traders",Lake Robinfurt,North Dakota,3.31
SELL_132,Dean Group Traders,West Chris,Pennsylvania,3.26
SELL_133,Vasquez-Franklin Traders,Ryanberg,Vermont,4.43
SELL_134,Guzman-Fields Traders,Berryport,Maine,3.31
SELL_135,"Blackwell, Tate and Butler Traders",East Katherinehaven,Alabama,4.5
SELL_136,Wheeler Ltd Traders,Lake Cynthiaview,Louisiana,4.52
SELL_137,Brown and Sons Traders,Alyssachester,New Mexico,4.66
SELL_138,"Stewart, Morgan and Rivas Traders",Hollyland,Colorado,3.47
SELL_139,Jackson LLC Traders,East Brent,Michigan,4.36
SELL_140,"Mccullough, Wilson and Melton Traders",Thomaschester,Wisconsin,4.09
SELL_141,Peters-Lane Traders,Theresaview,Tennessee,4.16
SELL_142,"Clark, Roy and Mckinney Traders",Wrightburgh,Indiana,3.33
SELL_143,Gibson-Butler Traders,New Allen,Tennessee,3.5
SELL_144,Orr and Sons Traders,Alexandraport,Missouri,3.93
SELL_145,"Simmons, Erickson and Benson Traders",Port Lisa,New Hampshire,4.8
SELL_146,Yates-Scott Traders,New Justinmouth,Washington,3.04
SELL_147,Harris-Barber Traders,Donovanberg,New Jersey,4.48
SELL_148,"Hernandez, Mcgrath and Burton Traders",Georgeland,Delaware,4.46
SELL_149,"Moody, Ryan and Ferguson Traders",Samanthaton,Oregon,3.67
SELL_150,Rodriguez PLC Traders,Port Eric,Kansas,3.14
SELL_151,Wilson-Rice Traders,Port Nathaniel,Texas,4.89
SELL_152,"Diaz, Roman and Faulkner Traders",Mercerside,California,3.97
SELL_153,Rodriguez-Rodriguez Traders,Mendozashire,Massachusetts,4.33
SELL_154,"Simon, Bryant and Frederick Traders",Port Michael,Virginia,4.77
SELL_155,Burch Group Traders,East Julie,Rhode Island,4.02
SELL_156,Ferguson and Sons Traders,North Kevin,Hawaii,3.33
SELL_157,"Riley, Stephens and Haley Traders",West Allison,Colorado,3.8
SELL_158,Smith PLC Traders,West Michael,Connecticut,4.97
SELL_159,Fitzgerald-Jefferson Traders,Port Julie,Iowa,4.55
SELL_160,Garcia-White Traders,East Kimberly,Louisiana,3.35
SELL_161,"Myers, Luna and Smith Traders",South Randall,Hawaii,3.48
SELL_162,Smith-Cuevas Traders,Markberg,Louisiana,3.09
SELL_163,"Lewis, Perez and Austin Traders",Rodriguezfurt,Kentucky,3.89
SELL_164,Miller Ltd Traders,Port Kaylabury,New Hampshire,4.25
SELL_165,"Allen, Harris and Parsons Traders",Wayneview,Utah,4.93
SELL_166,"George, Booth and Murphy Traders",Jasminehaven,Louisiana,4.19
SELL_167,Wilson-Delgado Traders,South Cody,New Jersey,3.36
SELL_168,Moore PLC Traders,Kaylaport,North Carolina,3.88
SELL_169,Walter Ltd Traders,Davidville,New Mexico,4.28
SELL_170,"Duran, Young and Adams Traders",Andrewport,Alaska,4.64
